metric,value,notes
single_bottle_price,59,Base assumption
2_bottle_bundle_price,109,Base assumption
3_bottle_bundle_price,149,Base assumption
subscription_price,52,Base assumption
cogs_per_bottle,15,Editable
ops_and_payment_per_order,6,Editable
shipping_contribution_per_order,5,Editable average
one_bottle_mix,0.45,Editable
two_bottle_mix,0.30,Editable
three_bottle_mix,0.10,Editable
subscription_mix,0.15,Editable
weighted_aov,81.95,Calculated from base mix
weighted_bottles_per_order,1.50,Calculated from base mix
variable_cost_per_order,33.50,Calculated
gross_profit_pre_cac,48.45,Calculated
good_cac,32,Scenario
base_cac,42,Scenario
weak_cac,55,Scenario
good_cac_contribution,16.45,Calculated
good_cac_margin_pct,20.1,Calculated
base_cac_contribution,6.45,Calculated
base_cac_margin_pct,7.9,Calculated
weak_cac_contribution,-6.55,Calculated
weak_cac_margin_pct,-8.0,Calculated
breakeven_cac,48.45,Calculated
month2_retention_rate,0.45,Scenario
month3_retention_rate,0.35,Scenario
month2_retained_order_gross_profit,29,Scenario
month3_retained_order_gross_profit,29,Scenario
weighted_month2_gross_profit,13.05,Calculated
weighted_month3_gross_profit,10.15,Calculated
rough_90_day_gross_profit_per_customer,71.65,Calculated before fixed overhead
recommended_green_zone_cac,35,Target ceiling for comfort
recommended_red_zone_cac,42,Above this fix economics before scaling
